2018-11-04 12:52:49,171,1,WOOHO
2018-11-04 12:53:45,824,1,WOOHO
2018-11-04 12:53:46,827,1,WOOHO
2018-11-04 12:53:47,831,1,WOOHO
2018-11-04 12:54:14,070,1,WOOHO
2018-11-04 12:54:15,075,1,WOOHO
2018-11-04 12:54:16,079,1,WOOHO
2018-11-04 12:54:17,084,1,WOOHO
2018-11-04 12:54:18,087,1,WOOHO
2018-11-04 12:54:19,091,1,WOOHO
2018-11-04 12:54:20,094,1,WOOHO
2018-11-04 12:54:21,100,1,WOOHO
2018-11-04 12:54:22,105,1,WOOHO
2018-11-04 12:54:23,109,1,WOOHO
2018-11-04 12:54:24,111,1,WOOHO
2018-11-04 12:54:25,113,1,WOOHO
2018-11-04 12:54:26,117,1,WOOHO
2018-11-04 12:54:27,119,1,WOOHO
2018-11-04 12:54:28,124,1,WOOHO
2018-11-04 12:54:29,125,1,WOOHO
2018-11-04 12:54:30,131,1,WOOHO
2018-11-04 12:54:31,136,1,WOOHO
2018-11-04 12:54:32,140,1,WOOHO
2018-11-04 12:54:33,142,1,WOOHO
2018-11-04 12:54:34,144,1,WOOHO
2018-11-04 12:54:35,149,1,WOOHO
2018-11-04 12:54:36,153,1,WOOHO
2018-11-04 12:54:37,159,1,WOOHO
2018-11-04 12:54:38,164,1,WOOHO
2018-11-04 12:54:39,168,1,WOOHO
2018-11-04 12:54:40,172,1,WOOHO
2018-11-04 12:54:41,177,1,WOOHO
2018-11-04 12:54:42,182,1,WOOHO
2018-11-04 12:54:43,188,1,WOOHO
2018-11-04 12:54:44,194,1,WOOHO
2018-11-04 12:54:45,198,1,WOOHO
2018-11-04 12:55:12,657,1,WOOHO
2018-11-04 12:55:13,659,1,WOOHO
2018-11-04 12:55:14,662,1,WOOHO
2018-11-04 12:55:15,668,1,WOOHO
2018-11-04 12:55:16,672,1,WOOHO
2018-11-04 12:55:17,678,1,WOOHO
